富裕,富有
眉开眼笑,笑容可掬
笑哈哈,笑嘻嘻
眉飞色舞,笑逐颜开
休息,歇息
停业,歇业
和谐,协调
同心并力,协力同心
险恶,邪恶
歧途,邪路
广阔,广漠
降临,来临
降级,升级
广阔,辽阔
通力进行,携手合作
满意,写意
走漏,泄漏
泄漏,泄露
灰心,泄气
推辞,谢绝
和缓,懈弛
问心无愧,心安理得
漫不经心,心不在焉
心乱如麻,心烦意乱
广漠,广阔
犷悍,蛮横
逛逛,走走
归并,合并
归国,返国
归根结底,归根结柢
归根结柢,归根结底
归还,送还
闻风丧胆,心惊胆战
提心吊胆,心惊肉跳
内心,心里
生理,心理
心心相印,心领神会
心烦意乱,心乱如麻
痛澈心脾,心如刀割
心猿意马,心神不定
心猿意马,心神恍惚
聚精会神,心神专注
归还,清偿
息息相通,心心相印
心神不定,心猿意马
直肚直肠,心直口快
胸有定见,心中有数
辛劳,辛勤
酸楚,辛酸
消息,新闻
奇怪,新鲜
疆场,沙场
将心比心,设身处地
归来,返来
言三语四,信口雌黄
天花乱坠,信口开河
信任,信赖
信心,信念
信托,信任
名誉,信用
愉快,兴奋
欢欣鼓舞,兴高采烈
茂盛,兴隆
郁勃,兴盛
兴致索然,兴味索然
归天,去世
贿赂,行贿
举动,行为
归天,物化
玄学,形而上学
鸠形鹄面,形容枯槁
情势,形式
觉醒,醒悟
龟婆,鸨母
规范,范例
规规矩矩,规行矩步
猛烈,凶猛
贱,贵
凶恶,凶险
凶讯,凶信
目不识丁,胸无点墨
胸中有数,胸有成竹
匠意于心,胸中有数
气昂昂,雄赳赳
雄心壮志,雄心勃勃
壮志凌云,雄心万丈
雄心勃勃,雄心壮志
痛痒相关,休戚相关
苏息,休息
停业,休业
停止,休止
修睦,修好
建筑,修建
规划,计划
规画,筹划
规戒,规诫
规诫,规戒
规矩,端正
规矩,礼貌
规模,范围
规行矩步,规规矩矩
规语,箴言
见义勇为,袖手旁观
男子,须眉
规则,法则
见死不救,漠不关心
假造,虚拟
衰弱,虚弱
卖弄,虚伪
客气,虚心
外强中干,虚有其表
假意周旋,虚与委蛇
矫揉造作,虚张声势
必要,需要
缓步,徐行
缓缓,徐徐
很多,许多
允许,许可
朝阳,旭日
媒介,序言
唠叨,絮聒
絮絮叨叨,絮絮不休
规则,规矩
见机行事,见风使舵
见风使舵,见机行事
见多识广,孤陋寡闻
见,睹
牵挂,悬念
推举,选举
简装,精装
简约,繁复
雪恨,雪耻
落井下石,雪上加霜
济困解危,雪中送炭
含血喷人,血口喷人
血流成河,血流漂杵
平凡,寻常
探求,寻找
顺从,驯服
和善,驯良
扣问,询问
循规蹈矩,循序渐进
谆谆教导,循循善诱
谴责,训斥
敏捷,迅速
就义,殉国
压倒,压服
克制,压迫
克制,压抑
阒寂无声,鸦雀无声
默不作声,哑口无言
吞没,淹没
延伸,延长
重办,严惩
隆冬,严冬
严酷,严格
冰冷,严寒
严格,严酷
精密,严密
严正,严明
严正,严肃
盛食厉兵,严阵以待
严明,严正
紧张,严重
一针见血,言必有中
心口不一,言不由衷
执法如山,言出法随
三言两语,言简意赅
口是心非,言行相诡
相沿,沿袭
相沿,沿用
简洁,简明
夏天,炎天
闺房,内室
岌岌可危,奄奄一息
遮蔽,掩蔽
掩饰笼罩,掩盖
面前目今,眼前
练习,演习
瑰宝,宝贝
瑰丽,美丽
轨制,制度
诡计,企图
诡辞欺世,妖言惑众
诡计,阴谋
瞻仰,仰视
瞻仰,仰望
养痈成患,养虎遗患
养痈遗患,养痈成患
养虎伤身,养痈遗患
鬼话,大话
鬼魂,幽灵
鬼混,厮混
鬼哭狼嗥,鬼哭狼嚎
鬼哭狼嚎,鬼哭狼嗥
鬼门关,地府
鬼使神差,阴差阳错
鬼头鬼脑,鬼鬼祟祟
鬼域伎俩,阴谋诡计
田野,野外
贵客,高朋
减,加
一样平常,一般
明哲保身,一尘不染
刻舟求剑,一成不变
一挥而就,一蹴而就
薪尽火灭,一刀两断
肯定,一定
岌岌可危,一发千钧
一向,一贯
一呼百应,一呼百诺
一下子,一会儿
一石二鸟,一举两得
屁滚尿流,一蹶不振
一得之愚,一孔之见
一清二楚,一览无余
俭约,俭省
一起,一路
同等,一律
江河日下,一落千丈
一壁,一面
千篇一律,一模一样
贫无立锥,一贫如洗
一尘不染,一乾二净
统统,一切
全无分别,一丘之貉
与日俱增,一日千里
临时,一时
金瓯无缺,一统天下
一扫而空,一网打尽
别无长物,一无长物
一无是处,一无可取
一无可取,一无是处
一无所获,一无所得
一无所得,一无所获
空空如也,一无所有
一直,一向
同心专心,一心
同心同德,一心一德
三言两语,一言半语
一声不响,一言不发
说一是一,一言为定
逐一,一一
频频,一再
一孔之见,一知半解
同等,一致
允从,依从
仍旧,依旧
寄托,依靠
留恋,依恋
为人作嫁,依人篱下
维持原状,依样葫芦
贵人,朱紫
贵姓,尊姓
贵寓,府上
贵重,珍贵
跪拜,膜拜
桂林一枝,一枝独秀
滚存,结存
滚动,转动
滚滚,滔滔
义师,义军
义军,义师
任务,义务
理直气壮,义正词严
理直气壮,义正辞严
马首是瞻,亦步亦趋
众口一词,异口同声
他日,异日
他乡,异乡
艰深,通俗
锅炉,汽锅
间接,直接
间谍,特务
歼灭,消灭
坚贞不屈,奴颜婢膝
国蠹,民贼
国法,王法
国家栋梁,中流砥柱
国界,版图
坚持,保持
坚,脆
尖利,尖锐
国民,百姓
随机应变,因时制宜
由于,因为
奸,忠
剖腹藏珠,因噎废食
昏暗,阴暗
阴暗,阴晦
农历,阴历
凶险,阴险
黑暗,阴郁
周到,殷勤
嫁,娶
假想,设想
假相,真相
假设,假定
国内,海内
国色天香,天姿国色
国是,国事
隐隐,隐约
应付自如,应付裕如
应付裕如,应付自如
合时,应时
贤明,英明
价格,价钱
国外,外洋
国贼,民贼
果断,坚决
颖慧,颖悟
栗六庸才,庸庸碌碌
永世,永久
果敢,大胆
家喻户晓,众所周知
家养,野生
果真,果然
裹足,扎脚
裹足不前,停滞不前
过长,太长
过程,历程
过程中,过程当中
过错,不对
枷锁,桎梏
佳人,才子
过低,太低
夹杂,搀杂
夹击,夹攻
加重,减轻
加速,减速
加强,增强
加快,放慢
加紧,抓紧
加,减
过短,太短
寄托,寄予
寄居,旅居
寄籍,原籍
继续,持续
继往开来,承上启下
季节,时节
技能,技艺
过度,过分
过分,太过
记功,记过
过高,太高
过河抽板,不知恩义
挤眉弄眼,指手划脚
过后行兵,坐失良机
瘠田,沃土
瘠,沃
嫉妒,妒忌
集中,集合
集团,团体
集体,个人
集聚,会聚
集,散
棘手,顺手
疾言厉色,和颜悦色
疾速,快速
疾驶,缓行
疾恶如仇,深恶痛绝
疾驰,奔驰
疾,徐
急中生智,束手无策
急速,缓慢
急如星火,十万火急
过活,度日
过火,偏激
伤时感事,忧国忧民
急忙,赶忙
急流勇退,知难而退
急功近利,深谋远虑
忧心如捣,忧心如焚
急促,短促
深谷,幽谷
寂静,幽静
急,慢
极其,极端
极乐世界,及时行乐
过久,太久
吉,凶
及时行乐,极乐世界
及第,落第
激战,鏖战
激情,热情
激发,激起
缉获,缴获
缉捕,缉拿
积重难返,根深蒂固
积少成多,集腋成裘
积极,主动
积淀,沉淀
鸡鸣狗盗,旁门左道
过期,逾期
饥寒,温饱
饥不择食,狼吞虎咽
饥,饿
过轻,太轻
讥刺,讽刺
讥嘲,嘲讽
祸,福
过去,已往
过人才略,盘盘大才
过甚,过头
过甚其辞,夸大其词
过甚其实,名过其实
过失,不对
过堂,审问
过时,过期
过问,干涉
火线,前线
火,水
过小,太小
和睦,友善
交情,友谊
绘声绘色,有板有眼
过重,太重
哈腰,弯腰
海潮,浪潮
海底捞针,海中捞月
海底捞针,杳如黄鹤
海疆,海域
海角天涯,天涯海角
海涵,包涵
海军,水师
海枯石烂,天长地久
海阔天空,天南地北
海内,国内
海市蜃楼,梦幻泡影
浑身是胆,胆小如鼠
海外,外洋
海域,海疆
骇人听闻,耸人听闻
昏迷,苏醒
昏暗,暗淡
害怕,畏惧
害人不浅,贻害不浅
害臊,怕羞
害羞,含羞
酣畅,畅快
毁,誉
憨厚,敦朴
荟萃,聚集
绘,画
善始善终,有始有终
有声有色,有条有理
虎头蛇尾,有头无尾
善始善终,有头有尾
有用,有效
会聚,集聚
稚子,幼稚
转弯抹角,迂回曲折
空闲,余暇
宽裕,余裕
雁足传书,鱼雁不绝
愚昧,愚笨
愚笨,愚蠢
会见,会晤
会集,汇集
会合,汇合
含恨,抱恨
含胡,含糊
含糊,暗昧
含混,含糊
含沙射影,暗箭伤人
含沙射影,架词诬控
回绝,拒绝
回击,反击
含羞,怕羞
含蓄,蕴藉
含血喷人,含沙射影
含义,寄义
含冤,抱屈
晃,摆
恍然大悟,豁然开朗
惶恐不安,惊慌失措
邯郸之梦,黄粱一梦
黄昏,傍晚
慌张,镇静
慌手慌脚,手忙脚乱
慌忙,沉着
慌乱,慌张
荒唐,荒谬
荒谬绝伦,合情合理
函件,翰札
涵蓄,含蓄
寒伧,寒碜
寒颤,寒战
寒碜,寒伧
寒冬,穷冬
寒光,冷光
还,借
欢声雷动,鸦雀无声
欢乐,悲哀
忧郁,郁闷
欢,悲
坏事,好事
坏人,好人
坏话,好话
坏蛋,好人
寒害,冷害
寒冷,严寒
寒气,冷气
画龙点睛,画蛇添足
画,绘
寒天,冷天
寒微,微贱
寒暄,交际
罕有,罕见
汉代,汉朝
汉子,男人
扞卫,保卫
汗流浃背,汗出如浆
汗如雨下,汗流浃背
花言巧语,甜言蜜语
花团锦簇,万紫千红
汗衫,笠衫
花花公子,纨绔子弟
花费,破费
互相,相互
虎头蛇尾,善始善终
悍妇,泼妇
颔首,点头
颔首应承,点头答应
熯,烦忙
翰札,函件
翰札,简牍
航海,帆海
毫不,绝不
毫不勉强,心甘情愿
毫无所惧,肆无忌惮
豪侈,奢侈
呼唤,召唤
呼,吸
厚道,刻薄
厚此薄彼,一视同仁
厚,薄
豪富,大富
后退,前进
后手,先手
后任,前任
后人,先人
后期,前期
后面,前面
豪举,壮举
猴年马月,指日可待
鸿鹄之志,无所事事
洪水猛兽,祸不单行
豪迈,豁达
红色,白色
红,白
弘扬,发扬
烘云托月,开门见山
豪门,权门
豪气,英气
豪爽,豪迈
豪侠好义,英雄仗义
嚎啕,号啕
好不容易,十分困难
好菜,佳肴
好处,利益
好处,优点
好高务远,好高骛远
好高骛远,好高务远
好汉,铁汉
好汉,英雄
好坏,优劣
黑,乌
鹤立鸡群,出类拔萃
赫赫有名,大名鼎鼎
河汉,银河
和气,和睦
好景不常,昙花一现
和睦相处,自相残杀
和睦,不和
和风细雨,暴风骤雨
和蔼,粗暴
和,战
好看,悦目
天悬地隔,云泥之别
许诺,允诺
活动,运动
昏迷,晕厥
积聚,蕴蓄
熟练,谙练
老马识途,谙熟门路
熟练,闇练
翱翔,遨游
羽缎,哔叽
好人,大好人
火急,弁急
礼帽,弁冕
小序,弁言
遵奉,禀承
天禀,禀赋
料理,摒挡
合成,分解
哗闹,嘈吵喧斗
喧华,嘈杂
怜悯,恻隐
冷静,岑寂
羸弱,孱羸
合唱,独唱
阿谀,谄谀
合,开
徘徊,徜徉
痛恨,怅恨
痛惜,怅然
惋惜,怅惘
望尘莫及,瞠乎其后
张口结舌,瞠目结舌
免职,褫职
谩骂,叱骂
浩如烟海,不计其数
号召,召唤
好事多磨,鲜花易谢
难过,惆怅
惊惶失措,猝不及防
蓦地,猝然
好手,妙手
好似,宛如彷佛
恬淡,澹泊
沾光,叨光
讨教,叨教
忝在爱末,叨在知己
擎天一柱,砥柱中流
注视,谛视
细听,谛听
近来,迩来
茂盛,蕃昌
茂盛,蕃芜
茂盛,蕃庑
好天,晴天
好像,如同
好像,彷佛
好事多磨,一帆风顺
好像,似乎
好人,坏人
好笑,可笑
好高鹜远,脚踏实地
好心,美意
好学,勤学
好逸恶劳,吊儿郎当
好意,美意
好友,挚友
好在,幸亏
好于,好过
嚎啕大哭,声泪俱下
撼,摇
螳臂挡车,蜉蝣撼树
怒不可遏,拊膺切齿
旱灾,水灾
旱路,水路
旱季,雨季
旱,涝
寒色,暖色
寒门,豪门
寒流,暖流
黑白,诟谇
号角,军号
寒来暑往,光阴似箭
寒假,暑假
寒带,热带
寒,热
号令,命令
邯郸学步,数典忘祖
含沙射影,光明正大
含糊其辞,直截了当
含,露
憨厚,淳朴
害鸟,益鸟
号啕,嚎啕
号召,招呼
海洋,陆地
浩瀚,众多
浩瀚,浩大
浩劫,大难
耗费,泯灭
过去,过来
耗损,消耗
呵斥,呵叱
呵护,庇护
喝采,叫好
喝茶,品茗
喝倒采,喝倒彩
喝倒彩,喝倒采
喝酒,饮酒
合并,归并
裹足不前,一往无前
合法,正当
合伙,合资
合家,百口
合理,公道
合力,协力
合谋,同谋
合浦还珠,失而复得
合浦珠还,失而复得
合情合理,通情达理
合时,适时
合适,符合
合同,条约
合用,适用
合作,互助
何处,那边
何堪,那堪
何苦,何必
何况,况且
何时,什么时候
何为,作甚
何在,安在
和蔼,平和
和蔼可亲,蔼然可亲
和好,亲睦
和解,息争
和平,宁静
和事佬,和事老
和顺,温顺
和婉,柔顺
和煦,暖和
河东狮吼,畏妻如虎
河畔,河边
河山,国土
核定,审定
核准,批准
贺词,贺辞
贺辞,贺词
贺年,拜年
贺喜,道喜
姣美,姣好
俊俏,姣美
胶葛,轇轕
鹤立鸡群,佼佼不群
洁白,皎白
洁白,皎洁
洁白,皎洁皎洁
黑暗,暗中
黑白,好坏
黑白,曲直短长
黑沉沉,阴森森
黑点,斑点
黑洞洞,黑沉沉
黑咕隆咚,黑鼓隆咚
黑鼓隆咚,黑咕隆咚
黑货,私货
黑色,玄色
光阴似箭,日月如梭
光荣,荣耀
光明正大,光明磊落
光明磊落,光明正大
黑魆魆,黑沉沉
黑压压,黑糊糊
黑黝黝,黑沉沉
很多,良多
很久,好久
很久,良久
光洁,光亮
光滑,润滑
光复,克复
很是,非常
管制,控制
鳏,寡
官,民
观摩,观赏
观点,观念
狠毒,毒辣
恨不得,巴不得
恨入骨髓,恨之入骨
恨之入骨,恨入骨髓
关,闭
怪罪,见怪
挂花,挂彩
寡不敌众,势均力敌
寡,众
刮目相待,拭目以待
瓜葛,纠葛
顾影自怜,孤芳自赏
顾,瞅
横暴,蛮横
横跨,高出
横三竖四,颠三倒四
横七竖八,杂乱无章
横竖,反正
横死,非命
横行霸道,作奸犯科
横行无忌,横行霸道
衡宇,房屋
固定,流动
鼓劲,泄气
轰轰烈烈,大张旗鼓
轰笑,哄笑
哄传,盛传
哄骗,利用
哄人,骗人
哄笑,轰笑
烘托,陪衬
弘大,宏大
弘论,宏论
弘图,鸿图
弘扬,宏扬
鼓,饱
骨瘦如柴,脑满肠肥
古装,时装
弘远,远大
古代,现代
弘愿,宏愿
弘旨,宏旨
红尘,尘世
红色,赤色
红利,盈余
红通通,红彤彤
红彤彤,红通通
红霞,彤霞
红杏出墙,不安于室
红颜,朱颜
红颜薄命,美人命薄
孤掌难鸣,众志成城
宏大,远大
宏亮,嘹亮
孤军奋战,同仇敌忾
姑且,权且
宏扬,弘扬
宏愿,大志
宏旨,弘旨
洪福,鸿福
洪亮,嘹亮
苟且偷安,苟且偷生
钩心斗角,明争暗斗
勾销,取消
勾留,逗留
勾结,勾搭
洪水,大水
鸿鹄之志,青云之志
共事,同事
后辈,子弟
后代,儿女
后代,子女
攻势,守势
后悔,悔恨
后悔,忏悔
后记,跋文
后来,厥后
后面,背面
后妻,继室
后生可畏,少年老成
后世,后代
后台,背景
后头,背面
后退,退却
后裔,后代
后援,后盾
后坐力,反冲力
厚酬,重酬
公有,私有
公事,私事
公然,悍然
厚待,优待
厚道,老实
厚交,深交
厚利,重利
厚实,丰富
呼叱,叱责
呼喊,呼叫招呼
呼喊,呼唤
呼叫,呼唤
呼啸,咆哮
呼吁,号令
忽冷忽热,乍寒乍热
忽略,疏忽
忽然,遽然
丝毫,涓滴
淘汰,镌汰
恳,镌谕
清高,狷介
形影相吊,孓然一身
其后,厥后
冷炙,馂余
劳军,犒军
赏赐,犒赏
敬慎,恪慎
忽然,溘然
忽视,轻忽
狐臭,腋臭
狐假虎威,仗势欺人
欺骗,诳骗
闺范,阃范
絮聒,唠叨
牢狱,缧绁
阳关三迭,骊歌高唱
遭灾,罹难
践祚,莅祚
唾骂,詈骂
狼籍,缭乱
选派,遴派
挑选,遴选
践踏,辚轹
欣赏,浏览
走狗,喽啰
啰唆,噜苏
详述,胪陈
狐疑,困惑
胡蝶,蝴蝶
胡匪,马贼
胡混,厮混
胡里胡涂,浑浑噩噩
胡闹,厮闹
胡说,乱说
胡说八道,颠三倒四
胡天胡地,放肆荒唐
胡涂,糊涂
昏黄,朦胧
胡涂一时,聪明一世
胡须,髯毛
胡言乱语,颠三倒四
胡作非为,任性妄为
糊口,生活
糊弄,乱来
蝴蝶,胡蝶
餬口,谋生
虎将,猛将
虎口余生,死里逃生
虎睨,鹰视
虎皮,皋比
虎魄,琥珀
虎头蛇尾,有始无终
蓦地,蓦然
琥珀,虎魄
互不相让,各执己见
洗浴,沐浴
过去,曩昔
互市,通商
互相研究,切磋琢磨
互助,相助
护理,照顾护士
护卫,保护
花白,斑白
花旦,旦角
花费,耗费
花花世界,十丈软红
花匠,园丁
花狸狐哨,花里胡哨
花里胡哨,花狸狐哨
花名,诨名
花前月下,月下花前
花钱,费钱
花梢,花哨
花哨,花梢
花天酒地,灯红酒绿
花团锦簇,五彩缤纷
花纹,斑纹
花消,花销
花销,花消
花样,格式
格格不入,水乳交融
革命,反动
歌颂,讴歌
搁置,放置
搁,放
告诉,通知
花招,把戏
花枝招展,浓妆艳抹
高瞻远瞩,鼠目寸光
高音,低音
高扬,低垂
高雅,庸俗
华美,华丽
高深莫测,一目了然
华山,西岳
华陀再世,药到病除
华夏,中原
哗变,叛变
哗闹,喧嚣
哗笑,喧笑
高级,初级
滑冰,溜冰
高等,初等
高大,矮小
高潮,低潮
高傲,骄傲
高,下
纲要,大纲
纲领,纲要
纲,目
刚正不阿,阿谀奉承
滑腻,光滑
化尽心血,费尽心机
化为泡影,化为乌有
化为乌有,子虚乌有
化险为夷,转败为功
泾渭不分,牝牡骊黄
划一,齐截
划一,同等
划一,整齐
划分,分别
画虎成犬,刻鹄类鹜
画龙点睛,一语道破
画蛇添足,多此一举
话筒,发话器
怀抱,度量
怀璧其罪,象齿焚身
怀才不遇,明珠暗投
怀恨,挟恨
怀念,吊唁
感化,感染
感恩戴德,忘恩负义
怀胎,妊娠
怀胎,受孕
怀疑,猜疑
怀孕,有身
坏处,弊端
坏话,浮名
坏人,暴徒
欢畅,欢快
欢快,高兴
甘,苦
干线,支线
欢乐,高兴
欢腾,高兴
欢喜,欢乐
欢欣,欢乐
欢迎,接待
欢悦,欢腾
还击,反击
还是,仍是
还是,照旧
还乡,回籍
还有,另有
环抱,环绕
环境,情况
环绕,围绕
缓步,漫步
缓步徐行,安步当车
缓和,和缓
缓解,减缓
缓慢,迟钝
缓期,脱期
幻术,把戏
幻想,理想
宦官,阉人
宦途,仕途
换班,调班
换取,调换
换衣,易服
涣然一新,面目全非
涣散,分散
患病,抱病
患难,磨难
患难夫妻,同命鸳鸯
焕发,抖擞
患上,得
患有,得了
覆盖,掩盖
腹,背
富饶,丰饶
荒废,疏弃
荒谬,谬妄
荒漠,荒原
荒僻,偏僻
荒唐,荒诞
荒芜,荒凉
荒凉,疏落
空中楼阁,蜃楼海市
荒谬,荒诞
荒年,凶年
荒疏,抛荒
荒原,荒漠
慌慌张张,丢魂失魄
慌脚鸡,毛姜
慌乱,忙乱
慌忙,匆忙
慌张,张皇
皇帝,天子
黄包车,人力车
黄昏,薄暮
黄历,通书
黄粱一梦,南柯一梦
惶惶不安,胆战心惊
惶恐,惊骇
惶恐,悚惶
恍惚,模糊
恍然大悟,名顿开
复学,休学
复线,单线
太古,邃古
精细,邃密
精密,邃密精美
晃荡,晃悠
谎话,大话
谎言,谣言
灰暗,昏暗
灰心丧气,暮气沉沉
诙谐,幽默
恢复,规复
挥动,摆荡
挥挥手,招招手
挥霍,浪费
挥霍无度,挥金如土
挥泪,洒泪
挥舞,挥动
晖映,照耀
辉煌,光辉
辉煌光耀,绚烂
辉映,照映
回避,躲避
回复,复兴
回覆,回答
回国,返国
回籍,还乡
回绝,谢绝
回扣,背工
回来,返来
回身,转身
回生,复生
回收,接纳
回天乏术,无法复生
回头,转头
回头是岸,悬崖勒马
回响,反响
回想,追念
回心,转意
回信,复书
回音,覆信
悔改,改过
悔恨,懊悔
悔恨,懊丧
悔恨,痛恨
汇报,报告
汇合,会合
汇集,搜集
会餐,聚餐
会萃,聚集
会合,齐集
会见,访问
会面,碰面
负,背
会堂,礼堂
会晤,会面
父,女
辅助,辅佐
俯首听命,桀骜不驯
俯首,昂首
会议,集会
会意,会心
喜笑颜开,嬉皮笑脸
缺点,瑕玷
文静,娴静
闲雅,娴雅
讳饰,遮掩
逃出法网,逍遥法外
飘逸,潇洒
轻渎,亵渎
绘声绘色,栩栩如生
福,祸
荟萃,集合
晦暗,昏暗
晦气,不利
惠临,光临
毁谤,诋毁
毁谤,讪谤
毁坏,破坏
毁伤,损伤
昏暗,幽暗
昏倒,昏迷
昏瞶,颟顸
昏厥,昏迷
昏迷,昏倒
昏迷,昏厥
昏天黑地,天昏地暗
昏头昏脑,晕头转向
浑沌,混沌
浑金璞玉,天真未凿
浑朴,浑厚
浑然一体,十全十美
浑水摸鱼,乘虚而入
魂不守舍,漫不经心
魂灵,灵魂
魂魄,灵魂
混蛋,忘八
混沌,浑沌
混合,混淆
混混,地痞
混乱,杂乱
混乱,杂沓
混身,满身
混水摸鱼,浑水摸鱼
混为一谈,等量齐观
混淆,殽杂
混淆黑白,颠倒黑白
混淆视听,混淆黑白
混浊,浑浊
豁达,豪迈
种植,栽种
重版,再版
豁免,宽免
豁然开朗,名顿开
活动,勾当
活灵活现,活龙活现
活埋,生坑
活气,活力
活捉,生擒
活着,在世
火柴,洋火
火伴,伙伴
停息,暂停
同意,赞成
赞同,赞许
火锅,暖锅
清晨,早晨
作育,造就
不法,造孽
夫,妇
否,可
求全谴责,责难
奉劝,规劝
奉还,归还
讨厌,憎恶
痛恨,憎恨
火急,迫切
火炬,火把
火伞高张,烈日当空
火烧眉毛,迫不及待
火头,庖丁
火速,敏捷
火药,炸药
伙伴,同伴
伙计,店员
逢,遇
伙食,炊事
烽火,烽烟
封,启
风雨同舟,同舟共济
风行一时,风靡一时
风物,景物
风俗,习俗
风气,习尚
风平浪静,惊涛骇浪
风貌,面貌
风景,景色
风格,作风
风度,风姿
风驰电掣,迅雷不及掩耳
风餐露宿,栉风沐雨
风波,风云
丰衣足食,饥寒交迫
丰收,歉收
丰富,丰厚
丰,歉
愤愤不平,平心静气
奋勇当先,一马当先
奋起直追,踌躇不前
奋勉,发奋
奋发图强,自暴自弃
焚,燃
分心,专心
或许,大概
或曰,或谓
或者,大概
分手,别离
分散,聚集
分开,合并
分工,合作
分别,辨别
分辨,区分
货仓,堆栈
货物,货品
货泉,货币
肺腑之言,花言巧语
废物,宝物
废品,成品
废话连篇,言之无物
废,兴
诽谤,诋毁
获得,得到
获取,获得
获救,得救
获利,赢利
获胜,得胜
获罪,开罪
祸不单行,灾患丛生
祸首,罪魁
讥讽,调侃
讥讽,挖苦
讥笑,打诨
讥笑,讽刺
击鼓,伐鼓
饥不择食,寒不择衣
饥寒交迫,啼饥号寒
饥肠辘辘,大肠告小肠
饥馑,饥荒
机电,电机
机关,构造
机伶,机灵
机警,机灵
飞快,缓慢
机谋,霸术
机能,性能
机器,呆板
机械,机器
机要,秘密
机遇,机会
机缘,机遇
机智,机警
机杼,心裁
肌理丰盈,珠圆玉润
鸡犬不宁,鸡飞狗跳
鸡犬升天,一人得道
鸡犬不留,斩草除根
咭片,名片
积不相容,势如水火
积储,积蓄
积存,积蓄
积德,行善
积厚流光,源远流长
积累,堆集
积蓄,蓄积
积压,积存
积羽沉舟,聚蚊成雷
基础,底子
缉捕,捉拿
缉捕,搜捕
方,圆
稽首,顿首
激昂,鼓动
激荡,荡漾
激发,引发
激忿,激愤
激烈,猛烈
激流,急流
激情,豪情
羁绊,拘束
及锋而试,捷足先得
及锋而试,捷足先登
及早,赶早
吉利,吉祥
吉日,谷旦
吉凶,休咎
吉兆,佳兆
吉兆,喜兆
岌岌可危,风雨飘摇
汲取,罗致
汲深绠短,心余力绌
汲水,打水
即刻,马上
即可,便可
即日,克日
即使,纵然
繁琐,烦琐
繁缛,烦琐
极度,非常
极端,极度
极可能,很可能
极力,尽力
极目,纵目
极其,极为
极为,极其
凡人,伟人
凡,凡是
极新,崭新
克服,战胜
伸开,张开
默不作声,张口结舌
宣扬,张扬
蛇头鼠眼,獐头鼠目
慷慨解囊,仗义疏财
极刑,死罪
极重繁重,深重
罚,奖
申雪,昭雪
如法泡制,照猫画虎
还是,照样
起始,肇端
掩藏,遮蔽
遮掩,遮盖
掩蔽,遮掩
赔本,折本
扣头,折扣
折衷,折中
乏味,有趣
如许,这样
乏,累
刑警队,侦缉队
怜惜,珍视
爱惜,珍惜
发人深省,振聋发聩
发起,发动
急变,遽变
急不可待,岌岌可危
发挥,发扬
发抖,颤抖
发出,收回
发表,宣布
发,收
急促,仓促
二,两
迩,遐
耳尖,耳背
尔,我
儿,女
恩人,仇人
急急,仓促
急急忙忙,快快当当
急救,抢救
饿,饥
团体,整体
急流勇退,功成身退
急忙,匆匆
急忙,匆促
急忙,急遽
急迫,迫切
急切,火急
疾苦,痛苦
精确,正确
君子,正人
正派人物,正人君子
重视,正视
正路,正途
中午,正午
疾言厉色,正言厉色
疾走,狂奔
守正不阿,正直无私
谨慎,郑重
着名,知名
疾足先得,捷足先登
棘手,辣手
集合,聚集
在朝,执政
集合,荟萃
集合,鸠合
集会,聚会会议
集体,团体
集腋成裘,聚沙成塔
集中,会合
辑睦,和睦
开门见山,直言不讳
批评,指斥
引导,指导
辑穆,和睦
辑佚,辑逸
辑逸,辑佚
几次,频频
批评,指摘
自鸣得意,趾高气扬
珍宝,至宝
几何,多少
至好,至交
几乎,险些
几回,几次
同舟共济,志同道合
几许,多少
己饥己溺,爱人如己
计划,打算
礼服,制服
计划,筹划
计较,计算
停滞,窒碍
伶俐,智慧
拖泥带水,滞滞泥泥
视而不见,置若罔闻
置之不理,置之度外
停止,中断
中心,中间
入耳,中听
中间,中心
中间,中央
中断,中止
忠实,忠厚
老实,忠实
忠告,忠言
尽头,终点
结局,终局
停止,终了
停止,终止
莳植,种植
浩繁,众多
众寡不敌,众寡悬殊
众说纷纭,众口纷纭
众志成城,众擎易举
众口纷纭,众说纷纭
众擎易举,众志成城
庞大,重大
相逢,重逢
重修,重建
紧张,重要
计谋,战略
计算,盘算
计无所出,束手待毙
豪门,朱门
渐渐,逐步
渐渐,逐渐
计帐,算帐
正犯,主犯
重要,主要
停止,住手
留宿,住宿
助势,助威
助桀为虐,助纣为虐
解释,注释
刊出,注销
细致,注意
看重,注重
庆贺,祝贺
捉住,抓住
特地,专程
埋头,专心
全心全意,专心致志
埋头,专一
变化,转变
须臾,转瞬
迂回曲折,转弯抹角
迁移转变,转折
赢利,赚钱
尊严,庄严
装置,装配
强大,壮大
矫健,壮健
雄心万丈,壮志凌云
状态,状况
记挂,挂念
记号,暗号
卓识,卓见
杰出,卓异
记念,纪念
笨拙,拙笨
秃笔,拙笔
左支右绌,捉襟见肘
污流,浊流
记实,记录
偏重,着重
细致,仔细
勤学不辍,孜孜不倦
滋生,滋长
润泽,滋润
虚假,子虚
辅音,子音
记忆,影象
记忆犹新,念念不忘
自感汗颜,自惭形秽
自负,自大
袒自若,自得其乐
主动,自动
自觉,自发
记载,纪录
记忆犹心,历历在目
自身难保,自顾不暇
自大,自豪
